version,diet_id,diet_label,diet_group,combo,target_kcal,target_protein_g,target_carbs_g,target_fat_g,actual_kcal,actual_protein_g,actual_carbs_g,actual_fat_g,dev_kcal_pct,dev_protein_pct,dev_carbs_pct,dev_fat_pct,solve_mode,tolerance_tier,culinary_pass,serving_step,wall_time_ms,lp_attempts,root_cause_category,root_cause_detail,culinary_cap_adherent,max_subrecipe_kcal_share_pct,max_subrecipe_servings
v1,person_1,Person 1,real,full_day,2000.0,175.0,200.0,56.0,1990,157,200,62,-0.5,-10.3,0.0,10.7,strict_tight,0.08,strict,0.5,297.76,2,,,True,26.2,5.0
v1,person_1,Person 1,real,lunch_snack_dinner,2000.0,175.0,200.0,56.0,2026,149,210,66,1.3,-14.9,5.0,17.9,strict_relaxed_tol,0.15,strict,0.5,778.57,6,,,True,36.0,6.5
v1,person_1,Person 1,real,lunch_dinner,2000.0,175.0,200.0,56.0,2004,153,200,66,0.2,-12.6,0.0,17.9,strict_relaxed_tol,0.1,strict,0.5,554.17,4,,,True,36.4,6.5
v1,person_1,Person 1,real,lunch_only,2000.0,175.0,200.0,56.0,2039,184,201,56,1.9,5.1,0.5,0.0,single_meal_kcal_only,0.08,strict,1.0,104.23,1,,,True,51.2,8.0
v1,person_1,Person 1,real,dinner_only,2000.0,175.0,200.0,56.0,1868,102,197,74,-6.6,-41.7,-1.5,32.1,single_meal_kcal_only,0.08,strict,1.0,101.31,1,,,True,49.3,9.0
v1,person_1,Person 1,real,lunch_snack,2000.0,175.0,200.0,56.0,1980,158,195,63,-1.0,-9.7,-2.5,12.5,strict_tight,0.08,strict,0.5,257.75,2,,,True,42.2,6.0
v1,person_2,Person 2,real,full_day,1350.0,101.0,135.0,45.0,1341,100,134,45,-0.7,-1.0,-0.7,0.0,strict_tight,0.08,strict,0.5,368.36,2,,,True,28.5,3.0
v1,person_2,Person 2,real,lunch_snack_dinner,1350.0,101.0,135.0,45.0,1335,94,138,45,-1.1,-6.9,2.2,0.0,strict_tight,0.08,strict,0.5,298.55,2,,,True,31.2,3.5
v1,person_2,Person 2,real,lunch_dinner,1350.0,101.0,135.0,45.0,1340,95,136,46,-0.7,-5.9,0.7,2.2,strict_tight,0.08,strict,1.0,107.56,1,,,True,31.1,4.0
v1,person_2,Person 2,real,lunch_only,1350.0,101.0,135.0,45.0,1306,91,136,44,-3.3,-9.9,0.7,-2.2,single_meal_kcal_only,0.08,strict,1.0,117.99,1,,,True,40.1,5.0
v1,person_2,Person 2,real,dinner_only,1350.0,101.0,135.0,45.0,1296,70,136,52,-4.0,-30.7,0.7,15.6,single_meal_kcal_only,0.08,strict,1.0,84.28,1,,,True,47.4,6.0
v1,person_2,Person 2,real,lunch_snack,1350.0,101.0,135.0,45.0,1350,90,141,47,0.0,-10.9,4.4,4.4,strict_tight,0.08,strict,1.0,167.49,1,,,True,31.0,4.0
v1,person_3,Person 3,real,full_day,1800.0,135.0,180.0,60.0,1839,131,179,66,2.2,-3.0,-0.6,10.0,strict_tight,0.08,strict,1.0,116.0,1,,,True,22.7,3.0
v1,person_3,Person 3,real,lunch_snack_dinner,1800.0,135.0,180.0,60.0,1786,128,182,61,-0.8,-5.2,1.1,1.7,strict_tight,0.08,strict,0.5,474.94,2,,,True,29.2,4.5
v1,person_3,Person 3,real,lunch_dinner,1800.0,135.0,180.0,60.0,1841,119,192,66,2.3,-11.9,6.7,10.0,strict_tight,0.08,strict,1.0,261.13,1,,,True,23.9,5.0
v1,person_3,Person 3,real,lunch_only,1800.0,135.0,180.0,60.0,1802,132,180,62,0.1,-2.2,0.0,3.3,single_meal_kcal_only,0.08,strict,1.0,205.13,1,,,True,34.9,8.0
v1,person_3,Person 3,real,dinner_only,1800.0,135.0,180.0,60.0,1695,90,179,69,-5.8,-33.3,-0.6,15.0,single_meal_kcal_only,0.08,strict,1.0,142.9,1,,,True,45.3,8.0
v1,person_3,Person 3,real,lunch_snack,1800.0,135.0,180.0,60.0,1761,127,180,59,-2.2,-5.9,0.0,-1.7,strict_tight,0.08,strict,1.0,196.25,1,,,True,35.5,5.0
v1,person_4,Person 4,real,full_day,1140.0,95.0,100.0,40.0,1164,95,102,42,2.1,0.0,2.0,5.0,strict_tight,0.08,strict,0.5,267.37,2,,,True,32.9,3.0
v1,person_4,Person 4,real,lunch_snack_dinner,1140.0,95.0,100.0,40.0,1130,82,98,45,-0.9,-13.7,-2.0,12.5,strict_relaxed_tol,0.1,strict,0.5,585.51,4,,,True,27.7,2.5
v1,person_4,Person 4,real,lunch_dinner,1140.0,95.0,100.0,40.0,1174,91,105,43,3.0,-4.2,5.0,7.5,strict_tight,0.08,strict,0.5,275.36,2,,,True,35.5,2.5
v1,person_4,Person 4,real,lunch_only,1140.0,95.0,100.0,40.0,1113,84,102,41,-2.4,-11.6,2.0,2.5,single_meal_kcal_only,0.08,strict,1.0,148.5,1,,,True,37.5,3.0
v1,person_4,Person 4,real,dinner_only,1140.0,95.0,100.0,40.0,1050,56,100,47,-7.9,-41.1,0.0,17.5,single_meal_kcal_only,0.08,strict,1.0,118.24,1,,,True,43.9,3.0
v1,person_4,Person 4,real,lunch_snack,1140.0,95.0,100.0,40.0,1136,95,99,40,-0.4,0.0,-1.0,0.0,strict_tight,0.08,strict,0.5,285.58,2,,,True,45.9,3.5
v1,person_5,Person 5,real,full_day,1400.0,105.0,140.0,46.7,1402,104,141,47,0.1,-1.0,0.7,0.6,strict_tight,0.08,strict,0.5,384.17,2,,,True,31.9,3.5
v1,person_5,Person 5,real,lunch_snack_dinner,1400.0,105.0,140.0,46.7,1384,96,134,52,-1.1,-8.6,-4.3,11.3,strict_tight,0.08,strict,1.0,110.9,1,,,True,30.1,3.0
v1,person_5,Person 5,real,lunch_dinner,1400.0,105.0,140.0,46.7,1361,97,139,47,-2.8,-7.6,-0.7,0.6,strict_tight,0.08,strict,1.0,83.71,1,,,True,30.7,3.0
v1,person_5,Person 5,real,lunch_only,1400.0,105.0,140.0,46.7,1460,117,140,48,4.3,11.4,0.0,2.8,single_meal_kcal_only,0.08,strict,1.0,136.88,1,,,True,42.9,6.0
v1,person_5,Person 5,real,dinner_only,1400.0,105.0,140.0,46.7,1296,70,136,52,-7.4,-33.3,-2.9,11.3,single_meal_kcal_only,0.08,strict,1.0,70.9,1,,,True,47.4,6.0
v1,person_5,Person 5,real,lunch_snack,1400.0,105.0,140.0,46.7,1490,118,141,50,6.4,12.4,0.7,7.1,strict_tight,0.08,strict,1.0,160.74,1,,,True,42.0,4.0
v1,person_6,Person 6,real,full_day,1600.0,120.0,160.0,53.3,1602,119,160,54,0.1,-0.8,0.0,1.3,strict_tight,0.08,strict,0.5,464.32,2,,,True,31.9,4.0
