version,diet_id,diet_label,diet_group,combo,target_kcal,target_protein_g,target_carbs_g,target_fat_g,actual_kcal,actual_protein_g,actual_carbs_g,actual_fat_g,dev_kcal_pct,dev_protein_pct,dev_carbs_pct,dev_fat_pct,solve_mode,tolerance_tier,culinary_pass,serving_step,wall_time_ms,lp_attempts,root_cause_category,root_cause_detail,culinary_cap_adherent,max_subrecipe_kcal_share_pct,max_subrecipe_servings
v0,person_1,Person 1,real,full_day,2000.0,175.0,200.0,56.0,2012,153,200,67,0.6,-12.6,0.0,19.6,strict_relaxed_tol,0.15,strict,0.5,390.73,6,RECIPE_POOL_MISMATCH,"achievable kcal [1218,5176] vs target 2000",True,25.9,4.5
v0,person_1,Person 1,real,lunch_snack_dinner,2000.0,175.0,200.0,56.0,1746,105,206,56,-12.7,-40.0,3.0,0.0,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1104.7,17,SERVING_BALANCE_RATIO_BLOCKED,flat_2.5x_default_ratio,True,25.2,5.0
v0,person_1,Person 1,real,lunch_dinner,2000.0,175.0,200.0,56.0,1773,107,204,59,-11.3,-38.9,2.0,5.4,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1233.64,17,SERVING_BALANCE_RATIO_BLOCKED,flat_2.5x_default_ratio,True,24.8,5.0
v0,person_1,Person 1,real,lunch_only,2000.0,175.0,200.0,56.0,940,78,78,35,-53.0,-55.4,-61.0,-37.5,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,917.88,17,RECIPE_POOL_MISMATCH,"achievable kcal [472,2087] vs target 2000",True,44.4,2.0
v0,person_1,Person 1,real,dinner_only,2000.0,175.0,200.0,56.0,1294,71,129,55,-35.3,-59.4,-35.5,-1.8,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1017.3,17,RECIPE_POOL_MISMATCH,"achievable kcal [396,1724] vs target 2000",True,47.5,5.0
v0,person_1,Person 1,real,lunch_snack,2000.0,175.0,200.0,56.0,1323,86,129,52,-33.9,-50.9,-35.5,-7.1,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,975.13,17,SERVING_BALANCE_RATIO_BLOCKED,flat_2.5x_default_ratio,True,31.5,3.0
v0,person_2,Person 2,real,full_day,1350.0,101.0,135.0,45.0,1360,101,135,47,0.7,0.0,0.0,4.4,strict_tight,0.08,strict,0.5,184.58,2,,,True,23.0,3.0
v0,person_2,Person 2,real,lunch_snack_dinner,1350.0,101.0,135.0,45.0,1335,94,138,45,-1.1,-6.9,2.2,0.0,strict_tight,0.08,strict,0.5,158.77,2,,,True,31.2,3.5
v0,person_2,Person 2,real,lunch_dinner,1350.0,101.0,135.0,45.0,1340,95,136,46,-0.7,-5.9,0.7,2.2,strict_tight,0.08,strict,1.0,62.41,1,,,True,31.1,4.0
v0,person_2,Person 2,real,lunch_only,1350.0,101.0,135.0,45.0,940,78,78,35,-30.4,-22.8,-42.2,-22.2,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1102.36,17,SERVING_BALANCE_RATIO_BLOCKED,flat_2.5x_default_ratio,True,44.4,2.0
v0,person_2,Person 2,real,dinner_only,1350.0,101.0,135.0,45.0,1140,57,128,45,-15.6,-43.6,-5.2,0.0,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1073.19,17,RECIPE_POOL_MISMATCH,"achievable kcal [396,1724] vs target 1350",True,40.4,5.0
v0,person_2,Person 2,real,lunch_snack,1350.0,101.0,135.0,45.0,1347,98,130,48,-0.2,-3.0,-3.7,6.7,strict_tight,0.08,strict,0.5,138.88,2,,,True,38.7,2.5
v0,person_3,Person 3,real,full_day,1800.0,135.0,180.0,60.0,1835,131,178,66,1.9,-3.0,-1.1,10.0,strict_tight,0.08,strict,1.0,71.85,1,,,True,22.7,3.0
v0,person_3,Person 3,real,lunch_snack_dinner,1800.0,135.0,180.0,60.0,1786,128,182,61,-0.8,-5.2,1.1,1.7,strict_tight,0.08,strict,0.5,137.3,2,,,True,29.2,4.5
v0,person_3,Person 3,real,lunch_dinner,1800.0,135.0,180.0,60.0,1841,119,192,66,2.3,-11.9,6.7,10.0,strict_tight,0.08,strict,1.0,81.27,1,,,True,23.9,5.0
v0,person_3,Person 3,real,lunch_only,1800.0,135.0,180.0,60.0,940,78,78,35,-47.8,-42.2,-56.7,-41.7,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1361.64,17,SERVING_BALANCE_RATIO_BLOCKED,flat_2.5x_default_ratio,True,44.4,2.0
v0,person_3,Person 3,real,dinner_only,1800.0,135.0,180.0,60.0,1363,73,131,61,-24.3,-45.9,-27.2,1.7,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1481.95,17,RECIPE_POOL_MISMATCH,"achievable kcal [396,1724] vs target 1800",True,45.1,5.0
