version,diet_id,diet_label,diet_group,combo,target_kcal,target_protein_g,target_carbs_g,target_fat_g,actual_kcal,actual_protein_g,actual_carbs_g,actual_fat_g,dev_kcal_pct,dev_protein_pct,dev_carbs_pct,dev_fat_pct,solve_mode,tolerance_tier,culinary_pass,serving_step,wall_time_ms,lp_attempts,root_cause_category,root_cause_detail,culinary_cap_adherent,max_subrecipe_kcal_share_pct,max_subrecipe_servings
v2,person_1,Person 1,real,full_day,2000.0,175.0,200.0,56.0,1917,151,175,68,-4.2,-13.7,-12.5,21.4,strict_relaxed_tol,0.15,strict,0.5,672.8,6,,,True,30.0,4.5
v2,person_1,Person 1,real,lunch_snack_dinner,2000.0,175.0,200.0,56.0,1888,145,171,69,-5.6,-17.1,-14.5,23.2,relaxed_culinary,0.2,relaxed,0.5,1147.93,16,,,True,33.1,3.0
v2,person_1,Person 1,real,lunch_dinner,2000.0,175.0,200.0,56.0,2156,163,189,83,7.8,-6.9,-5.5,48.2,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1135.75,17,,,True,29.0,3.0
v2,person_1,Person 1,real,lunch_only,2000.0,175.0,200.0,56.0,2049,182,186,64,2.5,4.0,-7.0,14.3,strict_tight,0.08,strict,0.5,168.86,2,,,True,50.9,5.0
v2,person_1,Person 1,real,dinner_only,2000.0,175.0,200.0,56.0,2031,109,198,89,1.6,-37.7,-1.0,58.9,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1164.17,17,,,True,45.4,6.0
v2,person_1,Person 1,real,lunch_snack,2000.0,175.0,200.0,56.0,1975,167,184,63,-1.2,-4.6,-8.0,12.5,strict_tight,0.08,strict,0.5,151.04,2,,,True,47.5,4.5
v2,person_2,Person 2,real,full_day,1350.0,101.0,135.0,45.0,1375,104,127,50,1.9,3.0,-5.9,11.1,strict_tight,0.08,strict,0.5,195.57,2,,,True,27.8,3.0
v2,person_2,Person 2,real,lunch_snack_dinner,1350.0,101.0,135.0,45.0,1365,101,124,52,1.1,0.0,-8.1,15.6,strict_relaxed_tol,0.1,strict,0.5,402.74,4,,,True,30.6,2.0
v2,person_2,Person 2,real,lunch_dinner,1350.0,101.0,135.0,45.0,1327,92,123,52,-1.7,-8.9,-8.9,15.6,strict_relaxed_tol,0.1,strict,0.5,318.29,4,,,True,23.6,2.0
v2,person_2,Person 2,real,lunch_only,1350.0,101.0,135.0,45.0,1416,117,118,53,4.9,15.8,-12.6,17.8,strict_relaxed_tol,0.15,strict,1.0,325.77,5,,,True,44.2,3.0
v2,person_2,Person 2,real,dinner_only,1350.0,101.0,135.0,45.0,1377,74,133,61,2.0,-26.7,-1.5,35.6,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1173.49,17,,,True,44.6,4.0
v2,person_2,Person 2,real,lunch_snack,1350.0,101.0,135.0,45.0,1362,112,123,47,0.9,10.9,-8.9,4.4,strict_tight,0.08,strict,1.0,71.02,1,,,True,45.9,3.0
v2,person_3,Person 3,real,full_day,1800.0,135.0,180.0,60.0,1804,132,170,66,0.2,-2.2,-5.6,10.0,strict_tight,0.08,strict,0.5,283.9,2,,,True,21.2,3.0
v2,person_3,Person 3,real,lunch_snack_dinner,1800.0,135.0,180.0,60.0,1772,129,165,66,-1.6,-4.4,-8.3,10.0,strict_tight,0.08,strict,0.5,215.32,2,,,True,29.4,2.5
v2,person_3,Person 3,real,lunch_dinner,1800.0,135.0,180.0,60.0,1808,135,164,68,0.4,0.0,-8.9,13.3,strict_relaxed_tol,0.1,strict,0.5,473.1,4,,,True,28.9,2.5
v2,person_3,Person 3,real,lunch_only,1800.0,135.0,180.0,60.0,1887,156,157,70,4.8,15.6,-12.8,16.7,strict_relaxed_tol,0.15,strict,1.0,343.49,5,,,True,44.2,4.0
v2,person_3,Person 3,real,dinner_only,1800.0,135.0,180.0,60.0,1860,104,174,83,3.3,-23.0,-3.3,38.3,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1243.93,17,,,True,49.5,6.0
v2,person_3,Person 3,real,lunch_snack,1800.0,135.0,180.0,60.0,1808,150,167,60,0.4,11.1,-7.2,0.0,strict_tight,0.08,strict,1.0,94.63,1,,,True,46.2,4.0
v2,person_4,Person 4,real,full_day,1140.0,95.0,100.0,40.0,1129,87,100,43,-1.0,-8.4,0.0,7.5,strict_tight,0.08,strict,0.5,223.32,2,,,True,22.6,2.0
v2,person_4,Person 4,real,lunch_snack_dinner,1140.0,95.0,100.0,40.0,1138,82,102,44,-0.2,-13.7,2.0,10.0,strict_relaxed_tol,0.1,strict,0.5,393.41,4,,,True,27.5,1.5
v2,person_4,Person 4,real,lunch_dinner,1140.0,95.0,100.0,40.0,1142,95,90,44,0.2,0.0,-10.0,10.0,strict_tight,0.08,strict,0.5,209.26,2,,,True,36.5,2.0
v2,person_4,Person 4,real,lunch_only,1140.0,95.0,100.0,40.0,1145,96,97,41,0.4,1.1,-3.0,2.5,strict_tight,0.08,strict,0.5,158.74,2,,,True,45.6,2.5
v2,person_4,Person 4,real,dinner_only,1140.0,95.0,100.0,40.0,1050,56,100,47,-7.9,-41.1,0.0,17.5,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1325.07,17,,,True,43.9,3.0
v2,person_4,Person 4,real,lunch_snack,1140.0,95.0,100.0,40.0,1132,95,98,40,-0.7,0.0,-2.0,0.0,strict_tight,0.08,strict,0.5,259.86,2,,,True,46.1,2.5
v2,person_5,Person 5,real,full_day,1400.0,105.0,140.0,46.7,1375,104,127,50,-1.8,-1.0,-9.3,7.1,strict_tight,0.08,strict,0.5,294.1,2,,,True,27.8,3.0
v2,person_5,Person 5,real,lunch_snack_dinner,1400.0,105.0,140.0,46.7,1348,93,126,53,-3.7,-11.4,-10.0,13.5,strict_relaxed_tol,0.1,strict,0.5,553.71,4,,,True,23.2,2.0
v2,person_5,Person 5,real,lunch_dinner,1400.0,105.0,140.0,46.7,1400,107,123,53,0.0,1.9,-12.1,13.5,strict_relaxed_tol,0.15,strict,0.5,543.72,6,,,True,29.8,2.0
