version,diet_id,diet_label,diet_group,combo,target_kcal,target_protein_g,target_carbs_g,target_fat_g,actual_kcal,actual_protein_g,actual_carbs_g,actual_fat_g,dev_kcal_pct,dev_protein_pct,dev_carbs_pct,dev_fat_pct,solve_mode,tolerance_tier,culinary_pass,serving_step,wall_time_ms,lp_attempts,root_cause_category,root_cause_detail,culinary_cap_adherent,max_subrecipe_kcal_share_pct,max_subrecipe_servings
v5,person_1,Person 1,real,full_day,2000.0,175.0,200.0,56.0,1927,155,178,66,-3.6,-11.4,-11.0,17.9,strict_relaxed_tol,0.1,strict,0.5,457.58,5,,,True,32.5,3.5
v5,person_1,Person 1,real,lunch_snack_dinner,2000.0,175.0,200.0,56.0,2014,159,198,66,0.7,-9.1,-1.0,17.9,strict_relaxed_tol,0.1,strict,0.5,695.63,5,,,True,36.3,5.0
v5,person_1,Person 1,real,lunch_dinner,2000.0,175.0,200.0,56.0,1950,157,189,63,-2.5,-10.3,-5.5,12.5,strict_tight,0.08,strict,0.5,130.03,2,,,True,37.5,5.0
v5,person_1,Person 1,real,lunch_only,2000.0,175.0,200.0,56.0,1862,192,102,76,-6.9,9.7,-49.0,35.7,single_meal_kcal_only,0.08,strict,0.5,152.65,2,,,True,61.6,5.5
v5,person_1,Person 1,real,dinner_only,2000.0,175.0,200.0,56.0,2154,157,108,122,7.7,-10.3,-46.0,117.9,single_meal_kcal_only,0.08,strict,0.5,113.77,2,,,True,74.8,10.5
v5,person_1,Person 1,real,lunch_snack,2000.0,175.0,200.0,56.0,1912,148,174,69,-4.4,-15.4,-13.0,23.2,relaxed_culinary,0.15000000000000002,relaxed,0.5,1689.9,23,,,True,43.7,5.0
v5,person_2,Person 2,real,full_day,1350.0,101.0,135.0,45.0,1337,99,134,45,-1.0,-2.0,-0.7,0.0,strict_tight,0.08,strict,0.5,170.82,2,,,True,23.4,2.5
v5,person_2,Person 2,real,lunch_snack_dinner,1350.0,101.0,135.0,45.0,1343,100,132,46,-0.5,-1.0,-2.2,2.2,strict_tight,0.08,strict,0.5,153.98,2,,,True,31.1,3.0
v5,person_2,Person 2,real,lunch_dinner,1350.0,101.0,135.0,45.0,1358,101,135,46,0.6,0.0,0.0,2.2,strict_tight,0.08,strict,0.5,149.1,2,,,True,30.7,3.5
v5,person_2,Person 2,real,lunch_only,1350.0,101.0,135.0,45.0,1270,103,96,53,-5.9,2.0,-28.9,17.8,single_meal_kcal_only,0.08,strict,0.5,191.19,2,,,True,41.1,5.0
v5,person_2,Person 2,real,dinner_only,1350.0,101.0,135.0,45.0,1428,94,99,73,5.8,-6.9,-26.7,62.2,single_meal_kcal_only,0.08,strict,1.0,109.81,1,,,True,64.5,6.0
v5,person_2,Person 2,real,lunch_snack,1350.0,101.0,135.0,45.0,1354,112,122,47,0.3,10.9,-9.6,4.4,strict_tight,0.08,strict,1.0,56.99,1,,,True,46.2,3.0
v5,person_3,Person 3,real,full_day,1800.0,135.0,180.0,60.0,1792,134,180,60,-0.4,-0.7,0.0,0.0,strict_tight,0.08,strict,0.5,183.48,2,,,True,29.1,3.5
v5,person_3,Person 3,real,lunch_snack_dinner,1800.0,135.0,180.0,60.0,1811,132,182,62,0.6,-2.2,1.1,3.3,strict_tight,0.08,strict,0.5,169.91,2,,,True,29.2,6.0
v5,person_3,Person 3,real,lunch_dinner,1800.0,135.0,180.0,60.0,1895,144,181,66,5.3,6.7,0.6,10.0,strict_tight,0.08,strict,1.0,59.43,1,,,True,33.0,5.0
v5,person_3,Person 3,real,lunch_only,1800.0,135.0,180.0,60.0,1723,176,99,69,-4.3,30.4,-45.0,15.0,single_meal_kcal_only,0.08,strict,1.0,242.4,4,,,True,60.5,5.0
v5,person_3,Person 3,real,dinner_only,1800.0,135.0,180.0,60.0,1911,125,140,95,6.2,-7.4,-22.2,58.3,single_meal_kcal_only,0.08,strict,1.0,60.8,1,,,True,64.3,8.0
v5,person_3,Person 3,real,lunch_snack,1800.0,135.0,180.0,60.0,1824,149,152,69,1.3,10.4,-15.6,15.0,strict_relaxed_tol,0.16666666666666669,strict,0.5,864.82,11,,,True,45.8,4.0
v5,person_4,Person 4,real,full_day,1140.0,95.0,100.0,40.0,1136,88,100,43,-0.4,-7.4,0.0,7.5,strict_tight,0.08,strict,0.5,220.07,2,,,True,27.6,2.5
v5,person_4,Person 4,real,lunch_snack_dinner,1140.0,95.0,100.0,40.0,1116,88,100,40,-2.1,-7.4,0.0,0.0,strict_tight,0.08,strict,0.5,158.67,2,,,True,37.4,2.5
v5,person_4,Person 4,real,lunch_dinner,1140.0,95.0,100.0,40.0,1140,91,100,42,0.0,-4.2,0.0,5.0,strict_tight,0.08,strict,0.5,205.34,2,,,True,36.6,2.0
v5,person_4,Person 4,real,lunch_only,1140.0,95.0,100.0,40.0,1097,85,92,43,-3.8,-10.5,-8.0,7.5,single_meal_kcal_only,0.08,strict,1.0,70.94,1,,,True,38.0,4.0
v5,person_4,Person 4,real,dinner_only,1140.0,95.0,100.0,40.0,1219,85,69,67,6.9,-10.5,-31.0,67.5,single_meal_kcal_only,0.08,strict,0.5,146.95,2,,,True,69.3,5.5
v5,person_4,Person 4,real,lunch_snack,1140.0,95.0,100.0,40.0,1132,93,101,40,-0.7,-2.1,1.0,0.0,strict_tight,0.08,strict,0.5,192.65,2,,,True,46.1,2.5
v5,person_5,Person 5,real,full_day,1400.0,105.0,140.0,46.7,1416,106,141,48,1.1,1.0,0.7,2.8,strict_tight,0.08,strict,0.5,195.16,2,,,True,22.1,2.5
v5,person_5,Person 5,real,lunch_snack_dinner,1400.0,105.0,140.0,46.7,1385,100,142,46,-1.1,-4.8,1.4,-1.5,strict_tight,0.08,strict,0.5,199.93,2,,,True,30.1,3.5
